epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,90.0616,0.53167,0.43621,0.92905,0.98307,0.97155,0.98969,0.90496,0.37466,0.32352,0.80758,0.00121591,0.00121591,0.00121591
43,92.2364,0.5072,0.4189,0.92192,0.97317,0.96683,0.98944,0.89372,0.37836,0.31916,0.80777,0.00120491,0.00120491,0.00120491
44,94.2523,0.49447,0.42535,0.92216,0.98274,0.96593,0.98521,0.89717,0.39602,0.33431,0.81582,0.00119391,0.00119391,0.00119391
45,96.2782,0.49293,0.41571,0.90534,0.99204,0.96934,0.98493,0.88885,0.38298,0.33111,0.81417,0.0011829,0.0011829,0.0011829
46,98.3569,0.48649,0.4093,0.90401,0.98906,0.96943,0.98518,0.90612,0.35973,0.31239,0.8087,0.0011719,0.0011719,0.0011719
47,100.492,0.47766,0.38993,0.90471,0.98113,0.97171,0.98899,0.90231,0.35903,0.3141,0.80691,0.0011609,0.0011609,0.0011609
48,102.493,0.4755,0.40183,0.91683,0.9957,0.96427,0.98734,0.90061,0.36294,0.31785,0.80678,0.0011499,0.0011499,0.0011499
49,104.55,0.47323,0.40184,0.90692,0.992,0.97448,0.98846,0.90239,0.37748,0.32245,0.80949,0.00113889,0.00113889,0.00113889
50,106.57,0.48649,0.41335,0.90714,0.99145,0.96604,0.99029,0.9034,0.35923,0.2973,0.80251,0.00112789,0.00112789,0.00112789
51,108.579,0.48665,0.3909,0.91142,0.99214,0.96814,0.98755,0.91383,0.35468,0.28936,0.80478,0.00111689,0.00111689,0.00111689
52,110.772,0.49123,0.39807,0.91984,0.97247,0.97254,0.98352,0.91037,0.37529,0.31222,0.81006,0.00110589,0.00110589,0.00110589
53,112.789,0.4571,0.38613,0.90365,0.98739,0.96943,0.98949,0.91265,0.36304,0.28651,0.80858,0.00109489,0.00109489,0.00109489
54,114.811,0.4595,0.36884,0.91045,0.96642,0.96869,0.99038,0.90855,0.36725,0.29121,0.80663,0.00108388,0.00108388,0.00108388
55,116.821,0.44896,0.37034,0.89612,0.97665,0.95729,0.98624,0.90919,0.34517,0.30781,0.80175,0.00107288,0.00107288,0.00107288
56,118.839,0.46925,0.38559,0.90567,0.99015,0.9549,0.98726,0.90249,0.34243,0.29065,0.79848,0.00106188,0.00106188,0.00106188
57,120.847,0.47773,0.39021,0.90283,0.99082,0.96593,0.98704,0.9077,0.34891,0.29203,0.80321,0.00105088,0.00105088,0.00105088
58,122.862,0.46081,0.37658,0.895,0.99567,0.96243,0.98588,0.90336,0.36383,0.29312,0.80746,0.00103987,0.00103987,0.00103987
59,124.882,0.4423,0.36253,0.88519,0.98926,0.97159,0.98657,0.90966,0.34072,0.28225,0.79816,0.00102887,0.00102887,0.00102887
60,127.069,0.44973,0.35841,0.89979,0.99525,0.96593,0.98245,0.91566,0.3359,0.28162,0.79762,0.00101787,0.00101787,0.00101787
61,129.223,0.43101,0.34465,0.8935,0.992,0.96684,0.98772,0.91805,0.32371,0.26696,0.79307,0.00100687,0.00100687,0.00100687
62,131.454,0.47037,0.37701,0.90214,0.99249,0.96913,0.98953,0.90958,0.36594,0.307,0.81613,0.000995866,0.000995866,0.000995866
63,133.473,0.4502,0.35553,0.8889,0.99983,0.96148,0.99254,0.91362,0.33919,0.27387,0.79962,0.000984864,0.000984864,0.000984864
64,135.475,0.43042,0.3489,0.89288,0.99674,0.969,0.99356,0.92035,0.32391,0.25435,0.79118,0.000973861,0.000973861,0.000973861
65,137.628,0.46246,0.36267,0.90287,1,0.96562,0.98796,0.90948,0.33682,0.27373,0.79925,0.000962859,0.000962859,0.000962859
66,139.636,0.43885,0.36854,0.89663,0.99427,0.96513,0.98962,0.90824,0.33578,0.2683,0.79325,0.000951857,0.000951857,0.000951857
67,141.635,0.42912,0.34825,0.88455,0.97701,0.9667,0.993,0.90948,0.33089,0.25533,0.79487,0.000940855,0.000940855,0.000940855
68,143.668,0.44877,0.35281,0.90267,0.99517,0.97292,0.98814,0.91034,0.3433,0.26109,0.79933,0.000929853,0.000929853,0.000929853
69,145.671,0.43894,0.34351,0.89871,0.99582,0.9711,0.99267,0.91911,0.32596,0.25053,0.79204,0.00091885,0.00091885,0.00091885
70,147.698,0.44289,0.35438,0.8952,0.99572,0.96333,0.99395,0.927,0.31709,0.25345,0.79215,0.000907848,0.000907848,0.000907848
71,150.07,0.44529,0.34655,0.89269,0.99321,0.9654,0.99247,0.91525,0.34975,0.26423,0.80319,0.000896846,0.000896846,0.000896846
72,152.084,0.41775,0.33741,0.87898,0.9972,0.9618,0.98789,0.91897,0.32206,0.24697,0.7946,0.000885844,0.000885844,0.000885844
73,154.154,0.43526,0.34205,0.88949,0.99609,0.97475,0.99301,0.92119,0.32924,0.25516,0.79396,0.000874842,0.000874842,0.000874842
74,156.16,0.41714,0.33535,0.87931,0.99274,0.96844,0.9933,0.91733,0.33004,0.24842,0.79438,0.000863839,0.000863839,0.000863839
75,158.168,0.44403,0.354,0.89324,0.99834,0.97632,0.99401,0.92171,0.3353,0.24897,0.79927,0.000852837,0.000852837,0.000852837
76,160.193,0.43132,0.3475,0.88768,0.98945,0.98532,0.99367,0.92746,0.31775,0.24913,0.79313,0.000841835,0.000841835,0.000841835
77,162.381,0.42754,0.3467,0.88794,0.98875,0.97206,0.99223,0.93589,0.32393,0.26457,0.79653,0.000830833,0.000830833,0.000830833
78,164.615,0.43199,0.34695,0.88725,0.98945,0.97292,0.9881,0.92621,0.31641,0.24743,0.79542,0.000819831,0.000819831,0.000819831
79,166.894,0.44252,0.34755,0.89736,0.99567,0.97622,0.99328,0.92658,0.33525,0.25209,0.80119,0.000808828,0.000808828,0.000808828
80,168.928,0.42389,0.342,0.88537,0.99423,0.98536,0.99427,0.93057,0.32673,0.24394,0.80345,0.000797826,0.000797826,0.000797826
81,170.93,0.41418,0.33013,0.90048,0.9972,0.98601,0.99479,0.9342,0.31802,0.24029,0.79372,0.000786824,0.000786824,0.000786824
82,172.952,0.4145,0.33104,0.88495,0.99541,0.98539,0.99462,0.92928,0.30484,0.23411,0.78755,0.000775822,0.000775822,0.000775822
83,174.981,0.42303,0.32925,0.88988,0.9929,0.9831,0.99401,0.93061,0.31829,0.24019,0.78739,0.00076482,0.00076482,0.00076482
84,176.989,0.40671,0.31287,0.88556,0.9964,0.9798,0.99423,0.9308,0.29993,0.23325,0.78398,0.000753817,0.000753817,0.000753817
85,179.026,0.41037,0.31821,0.89112,0.98329,0.97929,0.99215,0.93667,0.29203,0.23623,0.78166,0.000742815,0.000742815,0.000742815
86,181.548,0.41617,0.32217,0.87387,0.98607,0.98672,0.99079,0.92736,0.29716,0.2296,0.78035,0.000731813,0.000731813,0.000731813
87,183.569,0.40034,0.31376,0.87702,0.99171,0.97191,0.991,0.93064,0.31057,0.22629,0.7874,0.000720811,0.000720811,0.000720811
88,185.572,0.40977,0.31366,0.88315,0.99833,0.96881,0.9894,0.93044,0.30625,0.23029,0.78352,0.000709809,0.000709809,0.000709809
89,187.591,0.40861,0.32452,0.88724,0.99289,0.98125,0.99439,0.93037,0.30239,0.22067,0.78307,0.000698806,0.000698806,0.000698806
90,189.623,0.40669,0.32774,0.88168,0.99327,0.96683,0.98891,0.93314,0.29485,0.24621,0.78041,0.000687804,0.000687804,0.000687804
91,191.641,0.38935,0.31518,0.86829,0.98034,0.99277,0.99452,0.92624,0.29714,0.21661,0.78131,0.000676802,0.000676802,0.000676802
92,193.634,0.39316,0.30655,0.87982,0.99501,0.96843,0.98648,0.92421,0.31073,0.23086,0.78602,0.0006658,0.0006658,0.0006658
93,195.657,0.40273,0.31878,0.88027,0.99283,0.97992,0.99159,0.93452,0.29776,0.22463,0.78193,0.000654798,0.000654798,0.000654798
94,197.683,0.40287,0.31609,0.8965,0.99846,0.9723,0.99431,0.93497,0.29588,0.22234,0.77906,0.000643795,0.000643795,0.000643795
95,199.739,0.40579,0.31638,0.88127,0.99309,0.98058,0.99372,0.93498,0.2923,0.21401,0.7814,0.000632793,0.000632793,0.000632793
96,201.76,0.37991,0.30052,0.8826,0.99368,0.97279,0.99428,0.93543,0.29081,0.21198,0.7813,0.000621791,0.000621791,0.000621791
97,203.776,0.3882,0.29234,0.87919,0.98186,0.9992,0.99469,0.93278,0.2961,0.22,0.78582,0.000610789,0.000610789,0.000610789
98,205.813,0.39057,0.2979,0.88081,0.99303,0.99324,0.99479,0.93167,0.29172,0.21189,0.78211,0.000599787,0.000599787,0.000599787
99,207.839,0.39031,0.29319,0.87738,0.99261,0.98318,0.99463,0.93982,0.28954,0.21492,0.78093,0.000588784,0.000588784,0.000588784
100,210.049,0.38854,0.29524,0.87286,0.99642,0.97913,0.99412,0.9388,0.29122,0.2191,0.78132,0.000577782,0.000577782,0.000577782
101,212.063,0.38772,0.30071,0.87104,0.99635,0.98601,0.99456,0.9308,0.28777,0.2171,0.77934,0.00056678,0.00056678,0.00056678
102,214.092,0.36758,0.28646,0.88186,0.99251,0.9859,0.99452,0.93341,0.28878,0.21394,0.777,0.000555778,0.000555778,0.000555778
103,216.168,0.39586,0.28835,0.87239,0.99825,0.97836,0.99459,0.93428,0.27562,0.20191,0.77523,0.000544776,0.000544776,0.000544776
104,218.171,0.37256,0.28154,0.86982,1,0.98135,0.99453,0.93305,0.28936,0.20827,0.77841,0.000533773,0.000533773,0.000533773
105,220.196,0.38133,0.28448,0.87689,0.99643,0.9832,0.99427,0.94005,0.27281,0.20128,0.77627,0.000522771,0.000522771,0.000522771
106,222.389,0.36252,0.27615,0.85942,0.99197,0.9752,0.99413,0.94543,0.26864,0.21947,0.77429,0.000511769,0.000511769,0.000511769
107,224.565,0.36643,0.2743,0.86404,0.9895,0.98876,0.99448,0.9465,0.26998,0.20041,0.77476,0.000500767,0.000500767,0.000500767
108,226.774,0.39068,0.29554,0.88041,0.98956,0.99166,0.99469,0.94528,0.27041,0.19479,0.77235,0.000489765,0.000489765,0.000489765
109,228.787,0.3623,0.28647,0.86882,0.9805,0.9956,0.99466,0.94547,0.26038,0.19093,0.77175,0.000478762,0.000478762,0.000478762
110,230.819,0.3776,0.28375,0.87632,0.97938,0.99912,0.99473,0.94298,0.26176,0.19394,0.77197,0.00046776,0.00046776,0.00046776
111,233.047,0.37704,0.28247,0.86447,0.99564,0.97992,0.99451,0.94638,0.26357,0.19581,0.77224,0.000456758,0.000456758,0.000456758
112,235.078,0.36745,0.2884,0.86897,0.99702,0.97992,0.99463,0.94376,0.26332,0.19472,0.77075,0.000445756,0.000445756,0.000445756
113,237.106,0.35946,0.27163,0.86909,0.9956,0.97866,0.99454,0.94352,0.26069,0.19842,0.7711,0.000434754,0.000434754,0.000434754
114,239.131,0.37127,0.28659,0.87827,0.99474,0.97822,0.99464,0.94274,0.25332,0.20041,0.77019,0.000423751,0.000423751,0.000423751
115,241.169,0.38055,0.2798,0.87754,0.9862,0.99244,0.99469,0.94,0.26474,0.19708,0.77332,0.000412749,0.000412749,0.000412749
116,243.47,0.34535,0.27103,0.85205,0.99034,0.98054,0.99357,0.94416,0.27879,0.21731,0.77899,0.000401747,0.000401747,0.000401747
117,245.514,0.37261,0.28078,0.87154,0.98168,0.99568,0.99473,0.94334,0.26066,0.19506,0.77315,0.000390745,0.000390745,0.000390745
118,247.557,0.36248,0.27045,0.88054,0.98929,0.99951,0.99486,0.94493,0.26431,0.1943,0.77324,0.000379743,0.000379743,0.000379743
119,249.58,0.37434,0.27361,0.87903,0.98499,0.99939,0.99479,0.94252,0.2602,0.18968,0.77128,0.00036874,0.00036874,0.00036874
120,251.618,0.37025,0.27203,0.86769,0.98908,0.99598,0.99479,0.94942,0.25649,0.18361,0.77146,0.000357738,0.000357738,0.000357738
121,253.852,0.34792,0.25892,0.86014,0.99459,0.98905,0.99472,0.95008,0.24942,0.18197,0.77019,0.000346736,0.000346736,0.000346736
122,256.028,0.3635,0.26908,0.87264,0.99619,0.98564,0.99469,0.95,0.24289,0.17995,0.76871,0.000335734,0.000335734,0.000335734
123,258.05,0.35474,0.2705,0.86593,0.9957,0.98866,0.99483,0.94466,0.24287,0.19091,0.76953,0.000324732,0.000324732,0.000324732
124,260.088,0.33641,0.25758,0.85567,0.99307,0.99696,0.9949,0.94713,0.24865,0.19016,0.77009,0.000313729,0.000313729,0.000313729
125,262.131,0.34121,0.26023,0.85526,0.98639,0.99885,0.99479,0.94377,0.25542,0.18161,0.7711,0.000302727,0.000302727,0.000302727
126,264.163,0.34545,0.25637,0.86067,0.99101,0.98341,0.9947,0.94279,0.26296,0.1854,0.77299,0.000291725,0.000291725,0.000291725
127,266.193,0.32439,0.25725,0.85754,0.99474,0.98965,0.99479,0.94404,0.25816,0.18497,0.77092,0.000280723,0.000280723,0.000280723
128,268.234,0.34006,0.27184,0.85863,0.993,0.98691,0.99484,0.9432,0.25739,0.19068,0.77052,0.000269721,0.000269721,0.000269721
129,270.255,0.34103,0.26545,0.86245,0.99289,0.98691,0.99481,0.94532,0.2487,0.18619,0.76872,0.000258718,0.000258718,0.000258718
130,272.273,0.35073,0.26913,0.86655,0.99635,0.99096,0.99493,0.94897,0.24992,0.17527,0.76884,0.000247716,0.000247716,0.000247716
131,274.485,0.3404,0.25559,0.86239,0.99171,0.9936,0.99486,0.94945,0.24792,0.17687,0.76686,0.000236714,0.000236714,0.000236714
132,276.572,0.32599,0.2552,0.85595,0.99734,0.98823,0.99483,0.94823,0.24479,0.17569,0.76688,0.000225712,0.000225712,0.000225712
133,278.61,0.3364,0.25168,0.85973,0.98804,0.99301,0.99483,0.95176,0.24512,0.17617,0.76691,0.00021471,0.00021471,0.00021471
134,280.827,0.32826,0.25328,0.86264,0.99435,0.99531,0.99493,0.95286,0.25076,0.1774,0.76854,0.000203707,0.000203707,0.000203707
135,283.049,0.33691,0.24911,0.86953,0.99309,0.99877,0.9949,0.95106,0.2399,0.17142,0.76596,0.000192705,0.000192705,0.000192705
136,285.074,0.32396,0.24184,0.84734,0.99649,0.99341,0.99497,0.94906,0.23959,0.17118,0.76584,0.000181703,0.000181703,0.000181703
137,287.168,0.33711,0.2526,0.85957,0.98932,0.99977,0.9949,0.94724,0.24638,0.16956,0.76696,0.000170701,0.000170701,0.000170701
138,289.19,0.33542,0.24982,0.8624,0.99305,0.99445,0.99486,0.94849,0.2463,0.17166,0.76773,0.000159699,0.000159699,0.000159699
139,291.196,0.34151,0.25724,0.85771,0.99264,0.99901,0.99486,0.95101,0.24231,0.16982,0.76697,0.000148696,0.000148696,0.000148696
140,293.225,0.33946,0.24781,0.85942,0.99309,0.99883,0.99479,0.95292,0.23703,0.16699,0.76572,0.000137694,0.000137694,0.000137694
141,295.769,0.30569,0.24395,0.81107,0.99281,0.99778,0.99479,0.94892,0.24296,0.17125,0.76629,0.000126692,0.000126692,0.000126692
142,297.793,0.29133,0.21685,0.80307,0.99202,0.9963,0.99479,0.94659,0.24952,0.17671,0.76776,0.00011569,0.00011569,0.00011569
143,299.809,0.29197,0.21437,0.81483,0.98511,0.99491,0.99473,0.94876,0.24599,0.17531,0.76626,0.000104688,0.000104688,0.000104688
144,301.828,0.28832,0.21629,0.8021,0.98765,0.9965,0.99479,0.94908,0.24444,0.17434,0.76628,9.36854e-05,9.36854e-05,9.36854e-05
145,303.841,0.28462,0.20571,0.7857,0.99301,0.99212,0.99486,0.95112,0.24363,0.16867,0.76637,8.26832e-05,8.26832e-05,8.26832e-05
146,305.887,0.27097,0.20306,0.78905,0.99034,0.99569,0.99486,0.94995,0.24248,0.16515,0.7656,7.1681e-05,7.1681e-05,7.1681e-05
147,307.976,0.28341,0.21107,0.79408,0.99309,0.99813,0.99486,0.94891,0.24013,0.16701,0.76477,6.06788e-05,6.06788e-05,6.06788e-05
148,310.368,0.27618,0.20609,0.80622,0.99309,0.99801,0.99479,0.94913,0.24034,0.16975,0.7649,4.96766e-05,4.96766e-05,4.96766e-05
149,312.375,0.27642,0.20119,0.79534,0.99153,0.99524,0.99472,0.94909,0.23883,0.1666,0.76447,3.86744e-05,3.86744e-05,3.86744e-05
150,314.435,0.28017,0.20496,0.80969,0.99239,0.99523,0.99472,0.95007,0.23705,0.16222,0.76396,2.76722e-05,2.76722e-05,2.76722e-05
